Restaurant,City,Delivery_Time,Rating
Dominos,Vizag,30,4.5
KFC,Hyderabad,25,4.2
Pizza Hut,Chennai,40,4.1
Burger King,Bangalore,35,3.9
Subway,Delhi,20,4.3
McDonalds,Vizag,28,4
Biryani House,Hyderabad,45,4.6
Food Court,Chennai,50,3.8
Cafe Coffee,Bangalore,22,4.4
Spicy Hub,Delhi,38,4.1
Dominos,Hyderabad,32,4.3
KFC,Vizag,27,4.2
Pizza Hut,Bangalore,42,4
Burger King,Chennai,36,3.7
Subway,Vizag,18,4.5
McDonalds,Delhi,29,4.1
Biryani House,Chennai,47,4.7
Food Court,Bangalore,52,3.9
Cafe Coffee,Hyderabad,24,4.6
Spicy Hub,Vizag,39,4.2
